Titel,Werktitel,Übersetzter Titel,Autor*in,Mitwirkende/r,Digitalisat,Inhaltstyp,Hochschulschrift,Inhaltstyp,Inhalt,Beschreibung,Verknüpfte Titel,Anmerkungen,Serie,Verlag,Erschienen,Verlauf,Ausgabe,Nachdruck,Format,Häufigkeit,Sprache,Gebunden mit,Rechte,Thema,MESH Schlagwörter,Klassifikation,Ist enthalten in,Kursinformationen,Anmerkungen,Anmerkungen,Thema,Identifikator,Lokale Signatur,Quelle,Link
MAC address de-randomization for WiFi device counting: Combining temporal- and content-based fingerprints,,,"Uras, Marco   Ferrara, Enrico   Cossu, Raimondo   Liotta, Antonio   Atzori, Luigi",,,,,,,"To preserve people privacy and prevent device (and people) tracking, WiFi MAC address randomization is been introduced by an ever increasing number of operating systems. Accordingly, mobile devices make use of different virtual addresses over time so that not a single fixed factory address is used that may identify a specific user. This has the consequence that it is not even possible to extract anonymous information on people mobility by analyzing WiFi traffic traces, which would be useful for many purposes (e.g., counting the number of people in a mass transport vehicle).
To address this issue, in this paper we propose a novel MAC address de-randomization algorithm which groups specific messages (i.e., the Probe Requests) generated by the same physical device. With respect to past works, we consider a combination of the features that have been previously considered in isolation, which are associated to the content and length of the optional fields conveyed in the sent frames and the rate at which the frames are numbered over time. These features are then used by density-based clustering algorithms (i.e., DBSCAN, OPTICS, HDBSCAN) to group frames sent by the same device. Additionally, we consider the presence of pseudo-random MAC addresses, which are those that do not change every frame but only when the emitting device switches on and off the WiFi interface. To this, we have developed an heuristic to detect these sequences of frames so as to improve the algorithm efficacy. Experiments have been initially performed in a controlled environment where we reached an accuracy close to 96%. Then, experiments in a real scenario have been conducted where the people taking the bus when moving in an urban area have been counted; in such a scenario an average accuracy of 75% has been obtained.",,,,AMSTERDAM: Elsevier B.V,,,,,,,Englisch,,"2022 Elsevier B.V. Copyright Elsevier Sequoia S.A. Dec 9, 2022","Algorithms    Cell phones    Cities and towns    Cluster analysis    Computer science    Counting    Electronic apparatus and appliances    Engineering    Experiments    Heuristic    Metropolitan areas    Migration, Internal    Privacy    Random Allocation    Technology    Telecommunication    Wireless communication systems",,,"Computer networks (Amsterdam, Netherlands : 1999), 2022-12, Vol.218, p.109393, Article 109393",,,,,ISSN: 1389-1286 ISSN: 1872-7069 EISSN: 1872-7069 DOI: 10.1016/j.comnet.2022.109393,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_elsevier_sciencedirect_doi_10_1016_j_comnet_2022_109393
DESAIN DAN IMPLEMENTASI PADA WIFI PUSTIKOM FREE ACCESS DI PUSAT TEKNOLOGI INFORMASI DAN KOMUNIKASI UNIVERSITAS NEGERI JAKARTA MENGGUNAKAN MIKROTIK DAN WIRESHARK UNTUK ANALISIS TERHADAP SERANGAN PACKET SNIFFING DAN NETCUT,,,Reivaldi Kesuma Kagi   Muchammad Ficky Duskarnaen   Hamidillah Ajie,,,,,,,"Di lingkungan UPT TIK kampus A universitas negeri jakarta hotspot internet tanpa password dibutuhkan untuk mencari materi perkuliahan, mengirim email, dan mengakses layanan kampus seperti sistem informasi akademik. UPT TIK menyediakan fasilitas internet yang bisa diakses pelajar, pengajar dan karyawan melalui Pustikom Free Access. Pengguna dapat mengakses hotspot kapan saja tanpa harus login atau butuh password. Namun koneksi antara pengguna bisa saja diganggu oleh pengguna netcut yang dapat memutuskan jaringan kapan saja. Oleh sebab itu, dibutuhkan network analyzer. Metode yang dipakai untuk membuat desain dan implementasi pustikom free access yaitu rekayasa teknik. Proses untuk membuat pustikom free access dimulai dari menginstal sistem operasi windows yang berfungsi untuk menjalankan aplikasi yang dibutuhkan oleh peneliti, menginstal aplikasi winbox, wireshark (network analyzer), dan ujicoba menggunakan jaringan lokal sebelum diterapkan di jaringan pustikom free access. Proses pengujian perangkat menggunakan metode blackbox testing dari sisi perangkat keras dan perangkat lunak. Hasil dari pengujian menunjukkan bahwa desain pustikom free access dapat berjalan dengan baik dan dapat dijadikan referensi untuk diterapan pada hotspot pustikom free access.",,,,,,,,,,,Englisch,,,,,,"Pinter, 2020-12, Vol.4 (2), p.37-40",,,,,ISSN: 2597-4475 EISSN: 2597-4475 DOI: 10.21009/pinter.4.2.7,,DOAJ,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_21009_pinter_4_2_7
DESAIN DAN IMPLEMENTASI PADA WIFI PUSTIKOM FREE ACCESS DI PUSAT TEKNOLOGI INFORMASI DAN KOMUNIKASI UNIVERSITAS NEGERI JAKARTA MENGGUNAKAN MIKROTIK DAN WIRESHARK UNTUK ANALISIS TERHADAP SERANGAN PACKET SNIFFING DAN NETCUT,,,Reivaldi Kesuma Kagi   Muchammad Ficky Duskarnaen   Hamidillah Ajie,,,,,,,"Di lingkungan UPT TIK kampus A universitas negeri jakarta hotspot internet tanpa password dibutuhkan untuk mencari materi perkuliahan, mengirim email, dan mengakses layanan kampus seperti sistem informasi akademik. UPT TIK menyediakan fasilitas internet yang bisa diakses pelajar, pengajar dan karyawan melalui Pustikom Free Access. Pengguna dapat mengakses hotspot kapan saja tanpa harus login atau butuh password. Namun koneksi antara pengguna bisa saja diganggu oleh pengguna netcut yang dapat memutuskan jaringan kapan saja. Oleh sebab itu, dibutuhkan network analyzer. Metode yang dipakai untuk membuat desain dan implementasi pustikom free access yaitu rekayasa teknik. Proses untuk membuat pustikom free access dimulai dari menginstal sistem operasi windows yang berfungsi untuk menjalankan aplikasi yang dibutuhkan oleh peneliti, menginstal aplikasi winbox, wireshark (network analyzer), dan ujicoba menggunakan jaringan lokal sebelum diterapkan di jaringan pustikom free access. Proses pengujian perangkat menggunakan metode blackbox testing dari sisi perangkat keras dan perangkat lunak. Hasil dari pengujian menunjukkan bahwa desain pustikom free access dapat berjalan dengan baik dan dapat dijadikan referensi untuk diterapan pada hotspot pustikom free access.",,,,,,,,,,,Englisch,,,,,,"Pinter, 2020-12, Vol.4 (2), p.37-40",,,,,ISSN: 2597-4475 EISSN: 2597-4475 DOI: 10.21009/pinter.4.2.7,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_21009_pinter_4_2_7
WMLinks: Wearable Smart Devices and Mobile Phones Linking through Bluetooth Low Energy (BLE) and WiFi Signals,,,"Guo, Naixuan   Chen, Zhaofeng   Xu, Heyang   Liu, Yu   Zhao, Zhechun   Xu, Sen",,,,,,,"Wearable smart devices have gradually become indispensable devices in people’s lives. Their security and privacy have gained increasing popularity among the public due to their ability to monitor and record various aspects of users’ daily activities and health data. These devices maintain a wireless connection with mobile phones through periodic signal transmissions, which can be intercepted and analyzed by external observers. While these signal packets contain valuable information about the device owner, the identity of the actual user remains unknown. In this study, we propose two approaches to link wearable smart devices with users’ mobile phones, which serve as electronic identities, to enable novel applications such as multi-device authentication and user-device graph construction for targeted advertising. To establish this linkage, we propose two approaches: a passive-sniffing-based linking approach and an active-interference-based linking approach, which solve the problem of sniffing Bluetooth Low Energy broadcast packets in two stages of Bluetooth Low Energy communication. Through experiments conducted across three scenarios, we demonstrate that seven wearable devices can be successfully linked with an accuracy rate exceeding 80%, with accuracy rates approaching 100% when a device is recorded more than 11 times. Additionally, we find that four wearable devices can be linked via an active-interference-based linking approach with an accuracy rate exceeding 70%. Our results highlight the potential of wearable devices and mobile phones as a means of establishing user identities and enabling the development of more sophisticated applications in the field of wearable technology.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2024 MDPI AG 2024 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Bluetooth technology    Cell phones    Communication    Computer science    Electronic apparatus and appliances    Engineering    Experiments    Law enforcement    Physical sciences    Physics    Privacy    Smartwatches    Software    Technology    Wearable computers    Wearable technology,,,"Electronics (Basel), 2024-08, Vol.13 (16), p.3268, Article 3268",,,,,ISSN: 2079-9292 EISSN: 2079-9292 DOI: 10.3390/electronics13163268,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_3097929303
WMLinks: Wearable Smart Devices and Mobile Phones Linking through Bluetooth Low Energy (BLE) and WiFi Signals,,,"Guo, Naixuan   Chen, Zhaofeng   Xu, Heyang   Liu, Yu   Zhao, Zhechun   Xu, Sen",,,,,,,"Wearable smart devices have gradually become indispensable devices in people’s lives. Their security and privacy have gained increasing popularity among the public due to their ability to monitor and record various aspects of users’ daily activities and health data. These devices maintain a wireless connection with mobile phones through periodic signal transmissions, which can be intercepted and analyzed by external observers. While these signal packets contain valuable information about the device owner, the identity of the actual user remains unknown. In this study, we propose two approaches to link wearable smart devices with users’ mobile phones, which serve as electronic identities, to enable novel applications such as multi-device authentication and user-device graph construction for targeted advertising. To establish this linkage, we propose two approaches: a passive-sniffing-based linking approach and an active-interference-based linking approach, which solve the problem of sniffing Bluetooth Low Energy broadcast packets in two stages of Bluetooth Low Energy communication. Through experiments conducted across three scenarios, we demonstrate that seven wearable devices can be successfully linked with an accuracy rate exceeding 80%, with accuracy rates approaching 100% when a device is recorded more than 11 times. Additionally, we find that four wearable devices can be linked via an active-interference-based linking approach with an accuracy rate exceeding 70%. Our results highlight the potential of wearable devices and mobile phones as a means of establishing user identities and enabling the development of more sophisticated applications in the field of wearable technology.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2024 MDPI AG 2024 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Bluetooth technology    Cell phones    Communication    Computer science    Electronic apparatus and appliances    Engineering    Experiments    Law enforcement    Physical sciences    Physics    Privacy    Smartwatches    Software    Technology    Wearable computers    Wearable technology,,,"Electronics (Basel), 2024-08, Vol.13 (16), p.3268, Article 3268",,,,,ISSN: 2079-9292 EISSN: 2079-9292 DOI: 10.3390/electronics13163268,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_proquest_journals_3097929303
An Innovative and Cost-Effective Traffic Information Collection Scheme Using the Wireless Sniffing Technique,,,"Lee, Wei-Hsun   Liang, Teng-Jyun   Wang, Hsuan-Chih",,,,,,,"In recent years, the wireless sniffing technique (WST) has become an emerging technique for collecting real-time traffic information. The spatiotemporal variations in wireless signal collection from vehicles provide various types of traffic information, such as travel time, speed, traveling path, and vehicle turning proportion at an intersection, which can be widely used for traffic management applications. However, three problems challenge the applicability of the WST to traffic information collection: the transportation mode classification problem (TMP), lane identification problem (LIP), and multiple devices problem (MDP). In this paper, a WST-based intelligent traffic beacon (ITB) with machine learning methods, including SVM, KNN, and AP, is designed to solve these problems. Several field experiments are conducted to validate the proposed system: three sensor topologies (X-type, rectangle-type, and diamond-type topologies) with two wireless sniffing schemes (Bluetooth and Wi-Fi). Experiment results show that X-type has the best performance among all topologies. For sniffing schemes, Bluetooth outperforms Wi-Fi. With the proposed ITB solution, traffic information can be collected in a more cost-effective way.",,,,Basel: MDPI AG,,,,,,,Englisch,,"2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Access control    Big data    Cell phones    Communication    Data Collection    Diamonds    Experiments    Machine learning    Smartphones    Support vector machines    Topology    Traffic flow    Vehicles,,,"Vehicles, 2022-09, Vol.4 (4), p.996-1011",,,,,ISSN: 2624-8921 EISSN: 2624-8921 DOI: 10.3390/vehicles4040054,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_crossref_citationtrail_10_3390_vehicles4040054
Analisis Keamanan Jaringan Modem Zte Terhadap Serangan Packet Sniffing Menggunakan Metode Penetration Testing,,,,,,,,,,,,,,,,,,,,,Englisch,,,,,,Digital Transformation Technology,,,,,ISSN: 2807-9000 DOI: 10.47709/digitech.v5i1.5552,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_47709_digitech_v5i1_5552
Dual-Interface WiFi Packet Sniffer System using ESP32-CAM with Real-Time PCAP Generation for IoT Network Analysis,,,"Setiawan, Boy   Maulani, Maghfiroh   Putra, Zico Pratama   Brennaf, Muhammad Senoyodha",,,,,,,"This study focuses on designing and implementing a cost-effective and energy-efficient WiFi packet sniffer system using the ESP32. The ESP32-CAM module, which combines WiFi, Bluetooth, and microSD support, is used to capture IEEE 802.11 frames in real-time via promiscuous mode. Packets are stored in packet capture format, which is compatible with tools such as Wireshark and Scapy. Developed using the official ESP-IDF, it offers low-level control and high performance. Two user interfaces were implemented: a UART-based text menu and a web-based HTTPS menu hosted on the ESP32 itself. Functional and performance evaluations were conducted with a focus on capturing broadcast and management frames without payload decryption. The system achieves 99.99% packet capture accuracy at 500,000 packets with a total hardware cost of $25 and power consumption of 2.1 W during active capture, representing a 95% cost reduction and 80% power savings compared to commercial alternatives. The download and file-listing speeds through the web-based menu were also evaluated, revealing that the system performs optimally with fewer files but experiences interruptions during large-scale operations. The proposed system provides a lightweight, standalone, and highly portable alternative to conventional packet sniffing tools despite the limitations in encryption handling and resource constraints. This makes it suitable for educational, diagnostic, and preliminary network analysis, particularly in low-power scenarios.",,,,,,,,,,,Englisch,,,,,,"Makara Journal of Technology (online), 2025-12, Vol.29 (3)",,,,,ISSN: 2355-2786 ISSN: 2356-4539 EISSN: 2356-4539 DOI: 10.7454/mst.v29i3.1734,,EZB,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_7454_mst_v29i3_1734
Dual-Interface WiFi Packet Sniffer System using ESP32-CAM with Real-Time PCAP Generation for IoT Network Analysis,,,"Setiawan, Boy   Maulani, Maghfiroh   Putra, Zico Pratama   Brennaf, Muhammad Senoyodha",,,,,,,"This study focuses on designing and implementing a cost-effective and energy-efficient WiFi packet sniffer system using the ESP32. The ESP32-CAM module, which combines WiFi, Bluetooth, and microSD support, is used to capture IEEE 802.11 frames in real-time via promiscuous mode. Packets are stored in packet capture format, which is compatible with tools such as Wireshark and Scapy. Developed using the official ESP-IDF, it offers low-level control and high performance. Two user interfaces were implemented: a UART-based text menu and a web-based HTTPS menu hosted on the ESP32 itself. Functional and performance evaluations were conducted with a focus on capturing broadcast and management frames without payload decryption. The system achieves 99.99% packet capture accuracy at 500,000 packets with a total hardware cost of $25 and power consumption of 2.1 W during active capture, representing a 95% cost reduction and 80% power savings compared to commercial alternatives. The download and file-listing speeds through the web-based menu were also evaluated, revealing that the system performs optimally with fewer files but experiences interruptions during large-scale operations. The proposed system provides a lightweight, standalone, and highly portable alternative to conventional packet sniffing tools despite the limitations in encryption handling and resource constraints. This makes it suitable for educational, diagnostic, and preliminary network analysis, particularly in low-power scenarios.",,,,,,,,,,,Englisch,,,,,,"Makara Journal of Technology (online), 2025-12, Vol.29 (3)",,,,,ISSN: 2355-2786 ISSN: 2356-4539 EISSN: 2356-4539 DOI: 10.7454/mst.v29i3.1734,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_7454_mst_v29i3_1734
Dual-Interface WiFi Packet Sniffer System using ESP32-CAM with Real-Time PCAP Generation for IoT Network Analysis,,,"Setiawan, Boy   Maulani, Maghfiroh   Putra, Zico Pratama   Brennaf, Muhammad Senoyodha",,,,,,,"This study focuses on designing and implementing a cost-effective and energy-efficient WiFi packet sniffer system using the ESP32. The ESP32-CAM module, which combines WiFi, Bluetooth, and microSD support, is used to capture IEEE 802.11 frames in real-time via promiscuous mode. Packets are stored in packet capture format, which is compatible with tools such as Wireshark and Scapy. Developed using the official ESP-IDF, it offers low-level control and high performance. Two user interfaces were implemented: a UART-based text menu and a web-based HTTPS menu hosted on the ESP32 itself. Functional and performance evaluations were conducted with a focus on capturing broadcast and management frames without payload decryption. The system achieves 99.99% packet capture accuracy at 500,000 packets with a total hardware cost of $25 and power consumption of 2.1 W during active capture, representing a 95% cost reduction and 80% power savings compared to commercial alternatives. The download and file-listing speeds through the web-based menu were also evaluated, revealing that the system performs optimally with fewer files but experiences interruptions during large-scale operations. The proposed system provides a lightweight, standalone, and highly portable alternative to conventional packet sniffing tools despite the limitations in encryption handling and resource constraints. This makes it suitable for educational, diagnostic, and preliminary network analysis, particularly in low-power scenarios.",,,,,,,,,,,Englisch,,,,,,"Makara Journal of Technology (online), 2025-12, Vol.29 (3)",,,,,ISSN: 2355-2786 ISSN: 2356-4539 EISSN: 2356-4539 DOI: 10.7454/mst.v29i3.1734,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_7454_mst_v29i3_1734
Implementasi Tools Aircrack-ng Untuk Menganalisis Keamanan Jaringan Wifi Menggunakan Kali linux,,,"Fadzri, Alief Achmad   Maslan, Andi",,,,,,,"Kemajuan teknologi informasi dan komunikasi telah mendorong peningkatan penggunaan jaringan nirkabel (Wifi) karena fleksibilitas dan efisiensinya. Wifi banyak digunakan di rumah, kantor, dan institusi publik. Namun, kemudahan ini juga membawa kerentanan tinggi terhadap ancaman keamanan seperti sniffing, spoofing, brute force, dan man-in-the-middle. Ancaman ini diperparah oleh konfigurasi jaringan yang lemah dan rendahnya kesadaran pengguna. Penelitian ini bertujuan mengimplementasikan tool Aircrack-ng untuk menganalisis keamanan Wifi serta mengevaluasi efektivitasnya dalam mengidentifikasi celah keamanan. Pengujian dilakukan melalui tahapan scanning, capturing, deauthentication, dan cracking menggunakan Kali linux. Penelitian diterapkan pada jaringan Wifi di lingkungan PT Evergrown technology. Hasil menunjukkan bahwa Aircrack-ng efektif dalam mengidentifikasi kelemahan, terutama pada jaringan dengan enkripsi lemah dan kata sandi yang mudah ditebak. Data handshake yang diperoleh melalui serangan deauthentication berhasil digunakan dalam proses cracking. Temuan ini membuktikan bahwa jaringan Wifi tetap rentan tanpa pengaturan keamanan yang memadai. Sebagai upaya mitigasi, disarankan penggunaan kata sandi kuat, menonaktifkan WPS, memperbarui firmware secara berkala, dan menerapkan Mac filtering. Aircrack-ng terbukti berguna dalam pengujian penetrasi dan sebagai acuan peningkatan keamanan jaringan nirkabel.  ",,,,,,,,,,,Englisch,,,,,,"Jurnal Ilmiah Binary STMIK Bina Nusantara Jaya Lubuklinggau, 2025-08, Vol.7 (2), p.86-96",,,,,ISSN: 2339-1138 ISSN: 2657-2117 EISSN: 2657-2117 DOI: 10.52303/jb.v7i2.169,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_crossref_primary_10_52303_jb_v7i2_169
Implementasi Tools Aircrack-ng Untuk Menganalisis Keamanan Jaringan Wifi Menggunakan Kali linux,,,"Fadzri, Alief Achmad   Maslan, Andi",,,,,,,"Kemajuan teknologi informasi dan komunikasi telah mendorong peningkatan penggunaan jaringan nirkabel (Wifi) karena fleksibilitas dan efisiensinya. Wifi banyak digunakan di rumah, kantor, dan institusi publik. Namun, kemudahan ini juga membawa kerentanan tinggi terhadap ancaman keamanan seperti sniffing, spoofing, brute force, dan man-in-the-middle. Ancaman ini diperparah oleh konfigurasi jaringan yang lemah dan rendahnya kesadaran pengguna. Penelitian ini bertujuan mengimplementasikan tool Aircrack-ng untuk menganalisis keamanan Wifi serta mengevaluasi efektivitasnya dalam mengidentifikasi celah keamanan. Pengujian dilakukan melalui tahapan scanning, capturing, deauthentication, dan cracking menggunakan Kali linux. Penelitian diterapkan pada jaringan Wifi di lingkungan PT Evergrown technology. Hasil menunjukkan bahwa Aircrack-ng efektif dalam mengidentifikasi kelemahan, terutama pada jaringan dengan enkripsi lemah dan kata sandi yang mudah ditebak. Data handshake yang diperoleh melalui serangan deauthentication berhasil digunakan dalam proses cracking. Temuan ini membuktikan bahwa jaringan Wifi tetap rentan tanpa pengaturan keamanan yang memadai. Sebagai upaya mitigasi, disarankan penggunaan kata sandi kuat, menonaktifkan WPS, memperbarui firmware secara berkala, dan menerapkan Mac filtering. Aircrack-ng terbukti berguna dalam pengujian penetrasi dan sebagai acuan peningkatan keamanan jaringan nirkabel.  ",,,,,,,,,,,Englisch,,,,,,"Jurnal Ilmiah Binary STMIK Bina Nusantara Jaya Lubuklinggau, 2025-08, Vol.7 (2), p.86-96",,,,,ISSN: 2339-1138 ISSN: 2657-2117 EISSN: 2657-2117 DOI: 10.52303/jb.v7i2.169,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_crossref_primary_10_52303_jb_v7i2_169
Real-time detection of Wi-Fi attacks using hybrid deep learning models on NodeMCU,,,"Moharam, Mohamed Hussien   Ashraf, Kareem   Alaa, Hussien   Ahmed, Mostafa   El-Hakim, Hesham A.",,,,,,,"This paper presents a real-time, lightweight system for detecting Wi-Fi deauthentication (DA) attacks that uses the NodeMCU ESP8266 microcontroller for live packet sniffing and feature extraction. Tailored for low-power IoT environments, the system combines the sequential learning capabilities of Long short-term memory (LSTM), Gate recurrent unit (GRU), and Recurrent neural network (RNN) with the interpretability of logistic regression (LR). These hybrid models analyze Wi-Fi traffic in real time to detect anomalous behavior based on key metrics such as Received Signal Strength indicator (RSSI), DA, packet count, and Signal noise ratio (SNR), which are also displayed live on an OLED screen. The proposed framework uniquely integrates hybrid temporal deep learning with interpretable classification through (LR) in an ultra-low-cost embedded data acquisition setup through NodeMCU, addressing a gap in existing intrusion detection research that often focuses on either cloud-based processing or non-interpretable model. The system was trained and validated on a dataset of over 5,600 labeled samples collected under varied network conditions. Among the evaluated models, GRU_LR achieved the highest accuracy (96%) and demonstrated superior performance in identifying minority-class threats. By combining explainable AI with cost-effective embedded sensing, this work delivers a practical and transparent intrusion detection approach that can be readily adapted to diverse IoT and wireless security contexts.",,,,London: Nature Publishing Group UK,,,,,,,Englisch,,"The Author(s) 2025 2025. The Author(s). The Author(s) 2025. This work is published under http://creativecommons.org/licenses/by/4.0/ (the ""License""). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. The Author(s) 2025 2025",Algorithms    Artificial intelligence    Bench-marks    Classification    Efficiency    Machine learning    Mathematical optimization    Regression analysis    Science,,,"Scientific reports, 2025-09, Vol.15 (1), p.32544-18, Article 32544",,,,,ISSN: 2045-2322 EISSN: 2045-2322 DOI: 10.1038/s41598-025-18947-2 PMID: 40954170,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_1c46e0c5253447ab9e4231df90240989
Real-time detection of Wi-Fi attacks using hybrid deep learning models on NodeMCU,,,"Moharam, Mohamed Hussien   Ashraf, Kareem   Alaa, Hussien   Ahmed, Mostafa   El-Hakim, Hesham A.",,,,,,,"This paper presents a real-time, lightweight system for detecting Wi-Fi deauthentication (DA) attacks that uses the NodeMCU ESP8266 microcontroller for live packet sniffing and feature extraction. Tailored for low-power IoT environments, the system combines the sequential learning capabilities of Long short-term memory (LSTM), Gate recurrent unit (GRU), and Recurrent neural network (RNN) with the interpretability of logistic regression (LR). These hybrid models analyze Wi-Fi traffic in real time to detect anomalous behavior based on key metrics such as Received Signal Strength indicator (RSSI), DA, packet count, and Signal noise ratio (SNR), which are also displayed live on an OLED screen. The proposed framework uniquely integrates hybrid temporal deep learning with interpretable classification through (LR) in an ultra-low-cost embedded data acquisition setup through NodeMCU, addressing a gap in existing intrusion detection research that often focuses on either cloud-based processing or non-interpretable model. The system was trained and validated on a dataset of over 5,600 labeled samples collected under varied network conditions. Among the evaluated models, GRU_LR achieved the highest accuracy (96%) and demonstrated superior performance in identifying minority-class threats. By combining explainable AI with cost-effective embedded sensing, this work delivers a practical and transparent intrusion detection approach that can be readily adapted to diverse IoT and wireless security contexts.",,,,London: Nature Publishing Group UK,,,,,,,Englisch,,"The Author(s) 2025 2025. The Author(s). The Author(s) 2025. This work is published under http://creativecommons.org/licenses/by/4.0/ (the ""License""). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License. The Author(s) 2025 2025",Algorithms    Artificial intelligence    Bench-marks    Classification    Efficiency    Machine learning    Mathematical optimization    Regression analysis    Science,,,"Scientific reports, 2025-09, Vol.15 (1), p.32544-18, Article 32544",,,,,ISSN: 2045-2322 EISSN: 2045-2322 DOI: 10.1038/s41598-025-18947-2 PMID: 40954170,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_1c46e0c5253447ab9e4231df90240989
Machine Learning Enabled Wi-Fi Saturation Sensing for Fair Coexistence in Unlicensed Spectrum,,,"Girmay, Merkebu   Shahid, Adnan   Maglogiannis, Vasilis   Naudts, Dries   Moerman, Ingrid",,,,,,,"In the past few years, machine learning (ML) techniques have been extensively applied to provide efficient solutions to complex wireless network problems. As such, Convolutional Neural Network (CNN) and Q-learning based ML techniques are most popular to achieve harmonized coexistence of Wi-Fi with other co-located technologies such as LTE. In the existing coexistence schemes, a co-located technology selects its transmission time based on the level of Wi-Fi traffic generated in its collision domain which is determined by either sniffing the Wi-Fi packets or using a central coordinator that can communicate with the co-located networks to exchange their status and requirements through a collaboration protocol. However, such approaches for sensing traffic status increase cost, complexity, traffic overhead, and reaction time of the coexistence schemes. As a solution to this problem, this work applies a ML-based approach that is capable to determine the saturation status of a Wi-Fi network based on real-time and over-the-air collection of medium occupation statistics about the Wi-Fi frames without the need for decoding. In particular, inter-frame spacing statistics of Wi-Fi frames are used to develop a CNN model that can determine Wi-Fi network saturation. The results demonstrate that the proposed ML-based approach can accurately classify whether a Wi-Fi network is saturated or not.",,,,PISCATAWAY: IEEE,,,,,,,Englisch,,"Copyright The Institute of Electrical and Electronics Engineers, Inc. (IEEE) 2021",Coexistence    Computer science    Engineering    IEEE 802.11 (Standard)    Machine learning    Neural networks (Computer science)    Reaction time    Technology    Telecommunication    Wireless sensor networks,,,"IEEE access, 2021, Vol.9, p.42959-42974",,,,,ISSN: 2169-3536 EISSN: 2169-3536 DOI: 10.1109/ACCESS.2021.3066052 CODEN: IAECCG,,DOAJ,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_1109_access_2021_3066052
